Orientation Sensor Raw Data Test

Current Temperature: 28 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
time	eul_z	eul_y	eul_x	linA_x	linA_y	linA_z	cal_sys	cal_gyr	cal_acc	cal_mag
1161	0.00	0.00	0.00	0.00	0.00	0.00	
135	0.00	0.00	0.00	0.00	0.00	0.00	
107	0.00	0.00	0.00	0.00	0.00	0.00	
108	0.00	0.00	0.00	0.00	0.00	0.00	
107	0.00	0.00	0.00	0.00	0.00	0.00	
108	273.56	-16.06	-9.00	-8.48	-6.89	-4.62	
107	287.44	-26.56	16.56	-5.21	-11.17	-12.93	
110	310.31	-26.31	44.81	9.33	-2.51	-16.45	
109	337.00	-8.44	59.31	10.10	4.16	-15.96	
110	7.44	13.25	54.50	8.90	6.19	-14.95	
107	32.94	12.56	44.50	6.35	8.12	-14.23	
108	55.56	3.00	40.69	7.28	10.91	-13.48	
109	56.56	-21.12	50.25	12.44	16.07	-10.99	
108	34.94	-50.31	59.00	9.39	14.72	-5.98	
111	17.06	-64.50	75.81	5.91	6.76	-0.25	
109	11.31	-57.19	85.94	8.78	1.54	0.54	
108	8.31	-47.25	78.69	14.20	0.06	-1.26	
107	1.19	-40.81	67.62	17.48	0.43	-3.41	
110	356.88	-31.87	54.44	17.79	1.12	-7.92	
109	3.88	-21.87	44.63	18.78	2.32	-11.97	
108	16.62	-22.69	34.50	17.25	3.61	-12.32	
107	33.25	-28.87	33.19	15.68	4.68	-10.15	
108	43.00	-38.25	36.63	15.35	6.24	-7.21	
109	45.44	-47.50	51.88	14.89	8.64	-4.26	
110	31.37	-62.50	71.31	14.66	8.57	-1.66	
111	5.38	-77.25	121.87	11.93	3.51	1.36	
109	336.56	-74.19	-155.13	8.44	-2.71	4.04	
108	310.63	-63.75	-123.12	4.60	-7.89	5.15	
107	293.56	-57.44	-102.06	1.08	-11.68	3.65	
110	283.31	-52.69	-67.62	0.25	-14.51	-0.01	
109	274.94	-37.31	-39.19	0.24	-17.12	-6.46	
110	268.81	-12.25	-20.25	-3.27	-16.87	-14.23	
111	278.94	7.19	-2.56	-6.11	-11.15	-18.97	
109	296.94	17.31	14.06	-6.42	-5.46	-18.92	
110	302.75	12.88	13.31	-4.88	-8.60	-17.64	
109	324.06	10.00	3.50	-1.68	-10.71	-16.33	
110	337.38	5.00	2.88	0.58	-8.66	-15.34	
109	356.81	1.63	3.38	3.05	-7.32	-14.33	
108	12.94	-1.06	7.75	5.56	-5.43	-13.40	
107	28.25	-1.94	5.13	8.38	-4.25	-13.72	
108	45.25	-9.81	1.44	10.48	-2.90	-14.38	
109	65.31	-19.81	-2.50	9.70	0.72	-13.92	
111	86.12	-25.19	-5.94	8.53	5.37	-12.47	
110	97.56	-22.69	-5.31	7.76	6.37	-12.27	
107	301.31	-14.56	-4.81	7.45	5.11	-12.77	
108	307.56	-9.13	-6.50	9.73	6.81	-13.59	
109	314.00	-14.56	-3.94	11.38	9.92	-14.18	
110	326.88	-26.75	12.31	10.48	12.26	-11.83	
109	328.25	-35.25	35.69	7.87	16.35	-9.19	
108	308.00	-43.94	53.63	5.03	17.93	-6.55	
109	272.75	-57.31	62.50	4.38	11.57	-3.71	
108	253.88	-60.13	62.69	5.33	2.89	-3.20	
111	255.63	-43.94	60.25	9.74	0.55	-4.70	
109	266.75	-21.06	47.94	12.94	4.63	-7.96	
110	272.31	-2.25	26.62	13.12	9.93	-12.65	
107	273.00	7.63	5.94	13.06	10.80	-16.75	
108	278.88	2.38	-7.88	11.97	10.01	-18.85	
109	291.31	-17.12	-4.06	12.84	12.18	-17.69	
110	294.31	-31.69	23.06	13.00	13.92	-14.45	
111	280.94	-41.50	56.94	10.48	13.51	-12.43	
109	241.38	-64.25	82.87	7.38	9.53	-7.39	
108	188.25	-78.50	-80.06	4.16	-0.05	-2.40	
107	154.31	-53.50	-77.69	-1.46	-8.94	0.15	
110	137.63	-38.50	-59.19	-6.09	-13.23	0.07	
109	124.19	-9.25	-34.69	-8.36	-17.31	-7.46	
110	112.31	20.56	-9.88	-11.96	-17.21	-14.36	
107	113.81	40.19	11.31	-13.46	-11.38	-15.68	
108	121.12	48.88	19.62	-12.92	-6.68	-13.68	
111	121.12	47.69	22.00	-13.47	-4.05	-10.83	
111	111.19	40.06	20.56	-14.54	-2.84	-11.10	
110	96.00	28.12	6.13	-15.56	-3.42	-12.16	
107	88.25	16.94	-22.62	-14.61	-5.04	-10.92	
108	86.94	5.50	-45.31	-11.65	-8.62	-8.22	
107	80.81	5.06	-67.69	-10.02	-11.77	-4.05	
110	74.94	13.44	-87.37	-11.21	-10.80	2.20	
109	76.62	12.56	-95.37	-12.74	-8.72	7.75	
110	86.50	10.69	-94.81	-13.45	-8.00	9.39	
109	104.69	7.00	-86.62	-14.78	-8.72	7.96	
108	132.69	9.63	-69.56	-12.63	-10.59	2.79	
111	155.63	16.31	-55.88	-7.71	-12.24	-3.60	
109	168.56	28.37	-51.81	-5.53	-12.43	-5.54	
110	177.19	42.50	-46.19	-7.60	-10.66	-6.17	
107	184.44	59.06	-42.06	-11.10	-7.58	-7.74	
108	177.88	85.69	-4.13	-14.20	-5.40	-6.97	
109	138.69	63.63	125.50	-18.76	-3.12	-3.54	
110	86.69	46.06	80.87	-22.00	2.38	0.14	
111	68.50	37.25	34.31	-22.35	4.54	-1.04	
111	64.94	33.19	-5.06	-23.47	-0.73	-5.19	
108	81.25	17.75	-38.75	-23.07	-6.07	-4.83	
109	107.00	-9.00	-51.69	-15.00	-9.57	-3.12	
110	126.19	-30.00	-59.69	-4.83	-10.33	-0.86	
109	141.19	-43.13	-57.56	1.04	-8.25	1.42	
110	151.94	-43.63	-44.69	4.56	-7.71	-0.67	
107	151.69	-31.75	-33.81	4.50	-9.52	-4.99	
108	150.06	-15.00	-24.94	0.37	-10.45	-8.11	
